"","title","release_year","age_certification","runtime","imdb_score","imdb_votes","tmdb_popularity","tmdb_score","drama","comedy","documentation","horror","crime","action","thriller","fantasy","romance","history","scifi","animation","reality","sport","family","music","war","western","isNotUS"
"74","In Defense of a Married Man",-3.22942106077408,"",-0.305126798039608,5.6,-0.258680982928714,-0.235549615158201,-1.56207074531069,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76","Mujrim",-3.35590826907607,"",2.20462253071491,5.4,-0.25877174728607,-0.248020696099004,-0.461167706687128,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"77","Aakhri Adaalat",-3.48239547737806,"",1.68790943361839,5.1,-0.259724773038315,-0.2485555182836,-1.46198865089037,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
"78","Alexandria, Again and Forever",-3.35590826907607,"",0.100862063964799,6.5,-0.254587510411929,-0.255325880938597,-1.1617423676294,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"80","Strange Voices",-3.60888268568004,"",-0.0836783278553859,6.3,-0.257292288261157,-0.231708619468831,0.339489048675464,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"81","Jaal",-3.73536989398203,"",2.0938982956228,5.2,-0.259425250659038,-0.224342659380989,-1.46198865089037,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
"82","Quiet Victory: The Charlie Wedemeyer Story",-3.48239547737806,"",-0.0836783278553859,7.2,-0.25925279838006,-0.237956314988882,1.54047418171935,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86","Sohni Mahiwal",-3.98834431058601,"",2.13080637398684,6.1,-0.257864103712504,-0.191694196021343,-0.661331895527777,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
"87","Ek Jaan Hain Hum",-4.114831518888,"",1.7986336687105,6.3,-0.2599244546245,-0.253271677547763,0.539653237516113,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
"88","An Egyptian Story",-4.24131872718998,"",0.986655944701689,7.3,-0.250339738487638,-0.243742118622237,0.239406954255141,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
